about : 486次
many : 362次
text : 325次
d. : 267次
c. : 250次
could : 238次
b. : 238次
make : 230次
also : 210次
work : 204次
over : 202次
now : 202次
best : 201次
two : 201次
write : 201次
just : 200次
first : 200次
world : 199次
social : 198次
being : 196次
sheet : 196次
take : 195次
a. : 195次
any : 193次
like : 192次
read : 190次
way : 184次
according : 184次
after : 183次
must : 178次
us : 173次
between : 172次
own : 172次
good : 171次
less : 170次
paragraph : 170次
american : 168次
very : 165次
years : 165次
life : 165次
my : 164次
often : 161次
human : 161次
while : 157次
still : 156次
before : 155次
four : 154次
last : 151次
through : 148次
then : 148次
need : 146次
children : 146次
well : 142次
reading : 141次
might : 141次
mark : 138次
choose : 136次
long : 136次
get : 136次
author : 136次
become : 133次
information : 132次
without : 131次
too : 131次
economic : 129次
help : 128次
different : 126次
since : 125次
few : 125次
where : 121次
research : 121次
women : 121次
says : 121次
off : 120次
same : 120次
number : 120次
rather : 119次
writing : 119次
public : 118次
great : 117次
both : 117次
put : 116次
find : 116次
students : 116次
questions : 115次
made : 114次
does : 114次
english : 114次
come : 113次
means : 113次
think : 112次
better : 111次
three : 110次
education : 110次
every : 109次
business : 108次
used : 108次
job : 106次
him : 106次
health : 105次
. : 105次
year : 104次
little : 104次
end : 103次
passage : 103次
things : 103次
translation : 103次
don’t : 102次
see : 102次
given : 100次
down : 100次
study : 100次
yet : 100次
give : 99次
important : 99次
against : 99次
likely : 99次
among : 99次
always : 98次
comprehension : 97次
man : 97次
high : 97次
far : 97次
young : 97次
having : 97次
science : 97次
keep : 97次
making : 96次
change : 96次
old : 96次
test : 94次
words : 94次
look : 93次
why : 93次
it’s : 93次
national : 92次
society : 92次
large : 91次
know : 90次
– : 90次
want : 89次
3 : 89次
feel : 89次
language : 89次
another : 88次
longer : 88次
back : 86次
scientific : 86次
answers : 86次
once : 86次
letter : 85次
never : 85次
during : 85次
countries : 85次
around : 85次
place : 84次
probably : 84次
working : 84次
culture : 84次
early : 83次
state : 83次
government : 83次
seems : 83次
go : 82次
future : 82次
found : 81次
sheet. : 81次
certain : 81次
system : 81次
question : 80次
though : 80次
whether : 80次
companies : 80次
, : 80次
something : 79次
going : 79次
modern : 79次
school : 79次
common : 79次
moral : 79次
based : 79次
family : 78次
child : 78次
financial : 78次
political : 77次
federal : 76次
show : 76次
data : 76次
pay : 75次
16. : 75次
idea : 75次
learn : 75次
under : 75次
did : 75次
31. : 74次
living : 74次
word : 74次
makes : 73次
34. : 73次
37. : 73次
38. : 73次
least : 73次
below : 72次
24. : 72次
26. : 72次
27. : 72次
live : 72次
32. : 72次
35. : 72次
36. : 72次
39. : 72次
40. : 72次
said : 72次
possible : 72次
higher : 72次
right : 71次
numbered : 71次
17. : 71次
18. : 71次
19. : 71次
20. : 71次
21. : 71次
23. : 71次
25. : 71次
30. : 71次
until : 71次
men : 71次
food : 71次
kind : 71次
parents : 71次
22. : 70次
carefully : 70次
28. : 70次
33. : 70次
4 : 70次
cannot : 69次
role : 69次
law : 69次
true : 68次
scientists : 68次
power : 68次
process : 68次
changes : 68次
growth : 68次
thought : 67次
although : 67次
lost : 67次
really : 67次
enough : 67次
problem : 67次
problems : 67次
thinking : 67次
states : 67次
americans : 67次
money : 66次
sentences : 66次
technology : 66次
set : 66次
believe : 65次
(20 : 65次
times : 65次
intellectual : 65次
percent : 65次
reason : 64次
jobs : 64次
doing : 64次
history : 64次
example, : 64次
51. : 63次
52. : 63次
average : 63次
seem : 63次
influence : 63次
home : 63次
effect : 63次
global : 63次
others : 62次
within : 62次
parts : 62次
say : 62次
increase : 62次
today : 62次
poor : 62次
them. : 62次
researchers : 62次
internet : 62次
almost : 61次
small : 61次
taken : 61次
development : 61次
big : 61次
united : 61次
choices : 60次
age : 60次
university : 60次
attention : 60次
instead : 60次
structure : 59次
especially : 59次
day : 59次
underlined : 59次
hard : 59次
became : 59次
past : 59次
tend : 59次
written : 59次
major : 59次
greater : 58次
international : 58次
several : 58次
attitude : 58次
marked : 58次
sentence : 57次
needs : 56次
41. : 56次
name : 56次
translate : 56次
outside : 56次
support : 56次
company : 56次
generally : 56次
value : 56次
life. : 56次
able : 55次
43. : 55次
44. : 55次
usually : 55次
view : 55次
theory : 55次
happiness : 55次
legal : 55次
away : 54次
perhaps : 54次
turn : 54次
million : 54次
lack : 54次
42. : 54次
interest : 54次
result : 54次
book : 54次
industry : 54次
bad : 54次
growing : 54次
ii : 54次
45. : 53次
46. : 53次
results : 53次
intelligence : 53次
suggests : 53次
mind : 53次
(40 : 53次
european : 53次
fact : 52次
blank : 52次
market : 52次
left : 52次
ever : 52次
47. : 52次
bring : 52次
essay : 52次
recent : 51次
thus : 51次
that, : 51次
personal : 51次
including : 51次
animals : 51次
college : 51次
“the : 51次
population : 51次
available : 51次
clearly : 51次
a, : 51次
48. : 50次
situation : 50次
case : 50次
world. : 50次
already : 50次
medical : 50次
television : 50次
evidence : 50次
price : 49次
foreign : 49次
natural : 49次
half : 49次
matter : 49次
cost : 49次
getting : 49次
sense : 49次
b, : 49次
vocabulary : 48次
order : 48次
professional : 48次
50. : 48次
seen : 48次
20 : 48次
rate : 48次
next : 48次
paper : 48次
towards : 48次
costs : 48次
art : 48次
u.s. : 48次
corresponding : 48次
media : 48次
got : 47次
49. : 47次
difficult : 47次
came : 47次
create : 47次
real : 47次
person : 47次
increasingly : 47次
form : 47次
control : 47次
essential : 47次
example : 47次
point : 47次
consumers : 47次
neatly : 47次
computer : 47次
【解析】 : 47次
provide : 46次
meaning : 46次
ideas : 46次
nature : 46次
toward : 46次
century : 46次
basic : 46次
cultural : 46次
together : 46次
present : 46次
dr. : 46次
choosing : 46次
prices : 46次
brought : 46次
individual : 46次
ability : 45次
try : 45次
chinese. : 45次
asked : 45次
considered : 45次
explain : 45次
mental : 45次
importance : 45次
workers : 45次
online : 45次
understand : 44次
line : 44次
hardly : 44次
local : 44次
themselves : 44次
improve : 44次
ways : 44次
choice : 43次
me : 43次
takes : 43次
looking : 43次
spend : 43次
kinds : 43次
music : 43次
known : 43次
easy : 43次
learning : 43次
talk : 43次
mean : 43次
blackening : 43次
(5 : 43次
general : 42次
all, : 42次
start : 42次
everyone : 42次
cause : 42次
physical : 42次
am : 42次
sign : 42次
practice : 42次
stress : 42次
needed : 41次
taking : 41次
particular : 41次
whose : 41次
changed : 41次
water : 41次
single : 41次
rights : 41次
learned : 41次
necessary : 41次
lives : 41次
pressure : 41次
lot : 41次
testing : 41次
2) : 41次
forms : 40次
behind : 40次
strong : 40次
car : 40次
53. : 40次
56. : 40次
57. : 40次
58. : 40次
59. : 40次
60. : 40次
clear : 40次
search : 40次
games : 40次
community : 40次
decline : 40次
nearly : 40次
suggest : 40次
(line : 40次
economy : 40次
list : 40次
i: : 39次
buy : 39次
“i : 39次
questions. : 39次
deal : 39次
54. : 39次
55. : 39次
days : 39次
move : 39次
short : 39次
nothing : 39次
loss : 39次
families : 39次
service : 39次
simply : 39次
develop : 39次
increased : 39次
leaders : 39次
humans : 39次
hear : 39次
america’s : 39次
… : 39次
comes : 38次
late : 38次
mainly : 38次
mass : 38次
building : 38次
city : 38次
went : 38次
above : 38次
free : 38次
intended : 38次
it, : 38次
using : 38次
period : 38次
shows : 38次
report : 38次
industrial : 38次
similar : 38次
news : 38次
services : 38次
brain : 38次
key : 38次
iii : 38次
picture : 38次
【答案】[c] : 38次
along : 37次
took : 37次
full : 37次
upon : 37次
knowledge : 37次
one’s : 37次
amount : 37次
understanding : 37次
advantage : 37次
further : 37次
actually : 37次
can’t : 37次
efforts : 37次
offer : 37次
traditional : 37次
space : 37次
issue : 37次
kids : 37次
america : 37次
face : 37次
accept : 37次
fashion : 37次
1) : 37次
court : 37次
species : 37次
share : 37次
author’s : 37次
cancer : 37次
【答案】[b] : 37次
brackets : 36次
carry : 36次
tell : 36次
close : 36次
sometimes : 36次
plan : 36次
begin : 36次
educational : 36次
fit : 36次
limited : 36次
highly : 36次
life, : 36次
management : 36次
across : 36次
oil : 36次
beyond : 36次
members : 36次
groups : 36次
time, : 36次
care : 36次
group : 36次
drug : 36次
formal : 36次
inferred : 36次
products : 36次
5 : 36次
【考点分析】 : 36次
decide : 35次
complete : 35次
time. : 35次
current : 35次
president : 35次
everything : 35次
66. : 35次
describe : 35次
risk : 35次
unless : 35次
difference : 35次
return : 35次
majority : 35次
behavior : 35次
identify : 35次
ago, : 35次
quality : 35次
avoid : 35次
100 : 35次
policy : 35次
studies : 35次
dna : 35次
【答案】[a] : 35次
【答案】[d] : 35次
anyone : 34次
ii: : 34次
iii: : 34次
rich : 34次
anything : 34次
doesn’t : 34次
fact, : 34次
shown : 34次
stay : 34次
largely : 34次
daily : 34次
required : 34次
potential : 34次
skills : 34次
labor : 34次
british : 34次
today’s : 34次
focus : 34次
rise : 34次
